


#iter	avgavgE	devavgE	maxAvgE	minAvgE	# gossipLearning.controls.observers.errorComputation.ErrorComputator[NumOfVotes]	[HolderIndex]
30	0.4931231938629988	0.016040010357068188	0.5422993492407809	0.41865509761388287	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
31	0.4930016936707975	0.016115967853367726	0.5422993492407809	0.41865509761388287	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
32	0.49267280521949464	0.0161636425323745	0.5422993492407809	0.41865509761388287	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
33	0.4928513895537209	0.016259002407788086	0.544468546637744	0.41865509761388287	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
34	0.4927964002425948	0.01655559750395928	0.544468546637744	0.41865509761388287	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
35	0.49291947155797006	0.016372105073311393	0.544468546637744	0.41865509761388287	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
36	0.49266128364954354	0.01643488117801909	0.544468546637744	0.41865509761388287	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
37	0.4929529888523698	0.01662558793242917	0.544468546637744	0.41865509761388287	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
38	0.49288281201721834	0.016761860861778836	0.544468546637744	0.41865509761388287	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
39	0.49311010116986953	0.017156887221858676	0.544468546637744	0.41865509761388287	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
40	0.49295089402146897	0.017121443759787556	0.544468546637744	0.41865509761388287	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
41	0.49318813362089525	0.01739953922550759	0.544468546637744	0.41865509761388287	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
42	0.4935049767945216	0.0178442103457121	0.5466377440347071	0.41865509761388287	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
43	0.493598720477297	0.018107684522878056	0.544468546637744	0.41865509761388287	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
44	0.4936641839429227	0.018347508339518315	0.5466377440347071	0.41865509761388287	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
45	0.4936023864313723	0.018500896198916313	0.5466377440347071	0.41865509761388287	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
46	0.49384067344624816	0.018730348000266305	0.5466377440347071	0.46203904555314534	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
47	0.49406377293709963	0.01902717211158281	0.5466377440347071	0.46203904555314534	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
48	0.49408105529202445	0.019065057869655323	0.5466377440347071	0.46203904555314534	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
49	0.4940962428160502	0.01924139559264053	0.5466377440347071	0.46203904555314534	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
50	0.49461837941787795	0.01963405263767783	0.5466377440347071	0.46203904555314534	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
51	0.49467127389810356	0.019824319826928748	0.5466377440347071	0.46203904555314534	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
52	0.4948838992344549	0.02006205288595542	0.5466377440347071	0.46203904555314534	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
53	0.4947943452134794	0.020054019666034567	0.5466377440347071	0.46203904555314534	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
54	0.4952703955355071	0.020449694986621175	0.5466377440347071	0.46203904555314534	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
55	0.49550082693450864	0.020666531231811634	0.5466377440347071	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
56	0.4957427799034598	0.020858716156973874	0.5466377440347071	0.46203904555314534	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
57	0.49627224841343803	0.02126608436724645	0.5466377440347071	0.46203904555314534	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
58	0.4961051856491619	0.021153472408579416	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
59	0.4969080295915915	0.021701606693753966	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
60	0.4967016887479404	0.021628860624895597	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
61	0.4967278741341907	0.021767536568180566	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
62	0.4973804139595444	0.022126615911759937	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
63	0.4976008949117707	0.022319642309173535	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
64	0.497112275604343	0.022152941242726872	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
65	0.49775015161339653	0.0224942218334699	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
66	0.49779676160092173	0.022601605208106806	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
67	0.4983194219104749	0.02290474086524341	0.544468546637744	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
68	0.49863835991500166	0.023082900225194145	0.5466377440347071	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
69	0.498635217668652	0.02307961387264426	0.5466377440347071	0.4837310195227766	# gossipLearning.controls.observers.PredictionObserver - gossipLearning.controls.observers.errorComputation.ErrorComputator[0]	[0]
